Age,Gender,Employment_Status,Sleep_Hours,Sleep_Quality,Screen_Time_Hours,Physical_Activity_Hours,Social_Interaction_Score,Diet_Quality,Caffeine_Intake_Cups,Work_Study_Hours,Academic_Work_Pressure,Financial_Stress,Family_Support_Score,Stress_Level,Mental_Health_Score
59,Male,Employed,6.3,7.1,4.1,0.1,7.1,2.3,1,6.7,8.7,3.5,3.6,7.6,45.1
21,Female,Employed,6.4,8.5,6.2,2.2,7.0,4.6,2,10.5,4.5,5.5,5.5,6.3,62.8
56,Male,Employed,5.0,5.2,7.5,0.2,7.5,10.0,6,6.7,6.8,2.0,5.2,7.4,45.3
39,Male,Employed,7.9,4.1,6.7,1.0,4.0,4.1,1,1.9,4.9,5.5,6.7,8.3,31.2
36,Other,Employed,5.7,4.2,4.8,0.6,4.6,4.0,3,10.4,3.7,7.2,8.0,4.3,40.0
25,Other,Student,8.4,5.3,7.1,1.4,10.0,8.8,0,5.7,9.1,5.5,,9.1,56.9
50,Female,Employed,4.5,5.0,7.4,1.9,5.8,7.4,2,7.2,5.3,3.1,10.0,4.1,62.5
43,Male,Employed,8.3,4.6,5.2,2.3,5.3,4.3,1,4.3,6.8,6.4,3.4,6.1,38.6
54,Other,Student,7.6,6.0,5.8,5.2,5.9,8.3,2,10.3,3.7,6.4,5.7,4.1,73.2
50,Female,Employed,8.6,7.4,7.0,0.9,5.3,4.4,1,4.5,5.7,4.8,2.7,7.4,59.0
45,Female,Student,7.7,6.3,4.8,0.4,2.8,,0,10.0,4.9,6.1,,10.0,42.0
40,Male,Student,7.7,,3.8,0.7,6.3,9.3,3,5.2,9.1,5.3,4.8,1.6,56.8
27,Female,Employed,7.2,7.8,6.2,5.5,0.0,4.9,6,6.4,4.6,8.4,7.6,4.2,56.6
42,Male,Student,5.6,6.1,7.7,0.9,6.7,4.6,1,7.9,5.6,6.8,4.3,3.9,47.4
25,Male,Student,7.9,3.8,6.9,5.1,7.0,6.0,6,8.6,7.5,2.8,,7.6,49.0
29,Female,Student,6.2,6.4,1.5,1.9,6.3,7.5,0,6.8,7.4,8.2,5.5,5.5,52.8
39,Female,Employed,7.0,9.3,7.1,0.6,3.8,8.1,1,6.8,2.5,4.6,6.3,8.9,54.3
19,Male,Student,7.4,4.1,4.5,2.1,0.4,1.7,0,10.3,4.7,8.0,10.0,3.2,52.4
52,Male,Student,2.9,9.4,5.3,0.5,1.8,5.6,1,9.5,6.5,7.9,3.5,1.7,50.1
38,Female,Unemployed,9.6,6.3,2.6,0.8,3.4,7.9,4,0.6,7.6,1.0,7.3,3.8,77.2
43,Male,Employed,6.5,6.2,6.7,0.9,5.4,8.4,1,7.7,7.8,4.2,9.3,2.3,57.2
58,Female,Student,8.8,,5.5,0.7,7.1,4.8,2,7.6,7.0,5.4,5.9,7.0,42.5
